hire_year,hires,terminations,net_change,percent_hire_change
2002,1067,174,893,83.69
2019,1083,54,1029,95.01
2010,1099,137,962,87.53
2005,1097,191,906,82.59
2018,1147,55,1092,95.20
2012,1103,117,986,89.39
2007,1090,154,936,85.87
2001,1122,203,919,81.91
2004,1135,204,931,82.03
2000,220,31,189,85.91
2008,1108,147,961,86.73
2015,1059,85,974,91.97
2014,1053,95,958,90.98
2016,1122,74,1048,93.40
2011,1101,121,980,89.01
2013,1105,100,1005,90.95
2009,1140,159,981,86.05
2017,1091,61,1030,94.41
2006,1118,187,931,83.27
2003,1142,202,940,82.31
2020,1012,36,976,96.44
